address,lat,lng,date
嘉義縣竹崎鄉竹崎村中山路,23.5220358,120.5509311,104/06/26 11:40
嘉義縣大林鎮甘蔗崙,23.610237,120.446105,104/06/16 17:10
嘉義縣大林鎮甘蔗崙,23.610237,120.446105,104/12/21 05:53
嘉義縣大林鎮忠孝路,23.6034498,120.446935,104/04/09 00:00
嘉義縣新港鄉溪北,23.512329,120.336139,104/11/07 21:00
嘉義縣民雄鄉金興村惠安街41巷,23.5153314,120.4405761,104/11/15 11:30
嘉義縣民雄鄉10鄰東勢湖,,,104/06/05 10:00
嘉義縣大林鎮三和里林子頭,23.600972,120.490964,104/12/23 04:53
嘉義縣民雄鄉三興村大學路一段,23.5581672,120.4716227,104/11/13 10:00
嘉義縣大林鎮平林里新興街,23.6000555,120.458644,104/12/31 11:06
嘉義縣梅山鄉新市路82巷,23.5860503,120.5590211,104/12/19 13:29
嘉義縣番路鄉下坑村菜公店,23.4662025,120.5449869,104/12/31 17:10
嘉義縣中埔鄉龍門村2鄰龍山腳,23.4173772,120.5083905,105/02/25 20:00
嘉義縣竹崎鄉內埔村溪州,23.489601,120.564263,105/02/02 23:00
嘉義縣竹崎鄉中山路,23.509632,120.5447419,105/02/22 22:00
嘉義縣番路鄉番路村7鄰番路,23.464993,120.567153,104/07/29 15:20
嘉義縣鹿草鄉竹山村,23.4010271,120.2685799,105/01/30 11:00
嘉義縣民雄鄉北勢子,23.534636,120.45553,104/02/25 05:42
嘉義縣大林鎮大埔美,23.600971,120.504417,105/03/06 01:50
嘉義縣中埔鄉隆興村十字路,23.4416799,120.527584,105/02/15 18:30
嘉義縣中埔鄉灣潭村內湖空屋,,,105/01/15 09:00
嘉義縣新港鄉中山路,23.5431435,120.3493228,105/03/31 03:20
嘉義縣中埔鄉龍門村2鄰龍山腳,23.4173772,120.5083905,102/02/15 20:00
嘉義縣中埔鄉龍門村龍山腳,23.4266667,120.5058333,105/03/02 20:00
嘉義縣梅山鄉梅南村南興街,23.5802037,120.5584762,104/11/20 19:00
嘉義縣中埔鄉龍門村龍山腳,23.4266667,120.5058333,105/02/24 17:00
嘉義縣中埔鄉和興村中華路,23.4422608,120.4555039,104/12/28 11:00
嘉義縣民雄鄉雙福村雙福,23.537003,120.443053,105/04/01 14:30
嘉義縣中埔鄉龍門村龍山腳,23.4266667,120.5058333,105/04/14 20:00
嘉義縣布袋鎮中安里過溝,23.417224,120.178466,105/05/04 07:00
嘉義縣竹崎鄉灣橋村16鄰灣橋,23.4903157,120.5092558,105/04/27 02:19
嘉義縣中埔鄉頂埔村頂埔,23.412366,120.52703,105/04/17 11:30
嘉義縣水上鄉水上村18鄰中山路二段,23.4298045,120.3958295,094/10/19 08:00
嘉義縣中埔鄉和睦村中華路,23.4397206,120.4539614,105/06/09 09:08
嘉義縣梅山鄉梅南村6鄰南興街,23.5802037,120.5584762,104/11/24 10:30
嘉義縣六腳鄉潭墘村4鄰潭子墘,23.508357,120.275412,105/06/24 11:00
嘉義縣義竹鄉西過村過路子,23.303228,120.203954,105/06/10 23:00
嘉義縣番路鄉下坑村11鄰下坑,23.476663,120.536718,105/04/16 20:00
嘉義縣中埔鄉同仁村3鄰同仁,23.407006,120.51338,105/06/08 15:00
嘉義縣竹崎鄉光華村柑仔宅,23.466099,120.656081,105/03/18 05:00
嘉義縣竹崎鄉中和村石棹,23.487212,120.703602,105/03/22 11:29
嘉義縣中埔鄉和睦村中山路5段,23.4517007,120.4733784,105/01/09 18:00
嘉義縣竹崎鄉鹿滿村5鄰頂溪心,23.50966,120.540447,105/06/17 13:50
嘉義縣番路鄉大湖村2鄰茶科,23.4819835,120.6258385,105/07/06 09:22
嘉義縣太保市安仁里港子墘,23.445113,120.295487,105/07/24 14:00
嘉義縣朴子市竹圍里四維路一段584巷,23.4584019,120.2456443,105/08/11 23:00
嘉義縣朴子市竹村里13鄰鴨母寮439巷,,,104/11/06 12:00
嘉義縣六腳鄉正義村大橋頭358號對面倉庫前,,,105/06/27 04:56
嘉義縣水上鄉三和村新和庄,23.457618,120.405598,105/07/22 14:00
嘉義縣中埔鄉義仁村13鄰樹頭埔,23.443377,120.515449,105/05/09 08:00
嘉義縣朴子市永和里應菜埔,23.46513,120.231766,105/08/15 07:00
嘉義縣大林鎮三和里林仔前,23.601408,120.480644,103/07/15 12:00
嘉義縣六腳鄉灣北村,23.5071569,120.3118375,105/10/04 23:00
嘉義縣東石鄉西崙村,23.425631,120.1906803,105/10/20 13:55
嘉義縣水上鄉水頭村中正路,23.4282184,120.4034393,105/09/12 22:43
嘉義縣朴子市大?榔,23.4581618,120.2624729,105/11/08 17:10
嘉義縣朴子市山通路,23.4666214,120.2524674,105/09/05 07:45
