address,lat,lng,date
雲林縣大埤鄉豐田村大埤路,23.6629226,120.4639335,105/01/22 15:04
雲林縣口湖鄉梧南村光明路,23.5461086,120.1881683,105/04/22 07:59
雲林縣虎尾鎮埒內,23.721184,120.445217,105/05/13 14:30
雲林縣台西鄉蚊港村蚊港,23.756811,120.220344,105/05/23 16:00
雲林縣崙背鄉西榮村民族路,23.7695438,120.351153,105/06/03 03:00
雲林縣斗南鎮埤麻里新厝,23.6795658,120.4497507,105/06/13 11:06
雲林縣元長鄉卓運村庄內路,23.6424836,120.348028,105/06/15 08:30
雲林縣斗六市檨林路,23.6954926,120.6195275,105/05/15 11:50
雲林縣北港鎮華勝里民族路,23.5727277,120.3021267,105/05/26 20:40
雲林縣崙背鄉五魁村五常路,23.7682297,120.3245456,105/06/09 13:30
雲林縣斗六市光復路,23.7245316,120.5951257,105/06/17 10:10
雲林縣崙背鄉豐榮村豐榮路,23.7931056,120.3065571,105/05/21 18:30
雲林縣西螺鎮新豐里平和南路,23.789019,120.4490633,105/04/13 19:10
雲林縣二崙鄉油車村山子門路,23.7953728,120.3845463,105/01/14 10:00
雲林縣斗六市三和街,23.7052355,120.5377928,105/04/23 09:50
雲林縣口湖鄉水井村水井路,23.5286697,120.185477,105/06/22 10:09
雲林縣虎尾鎮下南,23.6807957,120.4044216,105/06/28 12:09
雲林縣斗六市雲林路2段,23.7012111,120.5287374,105/04/23 11:53
雲林縣四湖鄉飛東村大同路,23.6419945,120.1825342,105/06/12 15:00
雲林縣虎尾鎮中山路,23.7063715,120.4350973,105/05/22 01:04
雲林縣麥寮鄉海豐村永和,23.7753615,120.2446492,105/06/21 14:00
雲林縣口湖鄉水井村水井路,23.5286697,120.185477,105/04/03 13:05
雲林縣斗六市十三南路,23.7458862,120.5658873,105/06/13 22:30
雲林縣土庫鎮民生路,23.707572,120.3542284,105/06/28 08:57
雲林縣水林鄉蘇秦村蘇秦路,23.6200598,120.2593406,105/06/02 12:00
雲林縣西螺鎮鹿場里南興路,23.746958,120.477559,105/06/26 19:20
雲林縣西螺鎮中山路,23.7994431,120.4558638,105/05/06 13:00
雲林縣西螺鎮,23.7755286,120.447285,105/06/13 06:15
雲林縣西螺鎮漢光里中山路,23.7987884,120.4512174,105/04/23 17:10
雲林縣虎尾鎮東屯,23.7030636,120.3983097,105/06/03 20:00
雲林縣二崙鄉港後村安平路,23.8040585,120.3958384,105/05/30 11:29
雲林縣二崙鄉大庄村1鄰大庄路,23.8043656,120.3759882,105/03/26 05:30
雲林縣東勢鄉守密街,23.6656916,120.260709,105/04/19 08:00
雲林縣口湖鄉蚵寮村忠孝街,23.5726841,120.177356,105/06/21 14:00
雲林縣元長鄉安寧街,23.6487113,120.319323,105/06/15 08:00
