TempleName,LordGod,Area,Address,lat,long
普竹寺,觀音佛祖,嘉義縣,嘉義縣水上鄉中庄中庄村14鄰11號,23.4213007,120.4381581
福德爺,媽祖,嘉義縣,嘉義縣水上鄉崎子頭寬士村9鄰29號,23.4462882,120.4297955
興一講堂,明明上帝,嘉義縣,嘉義縣水上鄉三界埔三界村13鄰247之7號,23.4256807,120.4678131
協安宮,大伯爺介子推,嘉義縣,嘉義縣水上鄉三界埔國姓村11鄰113號,23.4410529,120.4757399
魚寮東安福宮,尤府千歲,嘉義縣,嘉義縣六腳鄉古林村30之1號,23.484817,120.2265
三主宮,五年王,嘉義縣,嘉義縣水上鄉水頭村10鄰2之3號,23.4501666,120.4336313
副港口宮,天上聖母,嘉義縣,嘉義縣六腳鄉蒜頭村5鄰42號,23.4940741,120.2907983
保安宮,五府千歲,嘉義縣,嘉義縣六腳鄉雙涵村4鄰42號,23.514773,120.30017
朝天宮,天上聖母,嘉義縣,嘉義縣布袋鎮新塭新民里15鄰387號,23.3367885,120.1712052
福安宮,福德正神,嘉義縣,嘉義縣中埔鄉中埔村十鄰80-56號,23.425139,120.522952
永安宮,周府千歲,嘉義縣,嘉義縣六腳鄉三義村10鄰8號,23.520527,120.2907
頂安宮,蕭府大帝,嘉義縣,嘉義縣六腳鄉港尾寮豐美村205號附1,23.53252,120.287002
合興宮,城隍爺,嘉義縣,嘉義縣水上鄉三和村4鄰20號,23.459122,120.409513
奉蓮宮,呂仙祖,嘉義縣,嘉義縣水上鄉三界埔三界村138之2號,23.43293,120.478367
慈聖宮,天上聖母,嘉義縣,嘉義縣六腳鄉溪厝村134之3號,23.4973079,120.2640211
妙光寺,釋迦牟尼佛,嘉義縣,嘉義縣竹崎鄉外埔緞繻村一一之一號,23.5237922,120.5941667
聖安宮,保生大帝,嘉義縣,嘉義縣六腳鄉菕子崙陽村5鄰43號,23.555619,120.305136
靈應公義士廟,靈應公,嘉義縣,嘉義縣水上鄉三鎮路三鎮村8鄰53號,23.4152566,120.3870405
般若精舍,釋迦牟尼佛,嘉義縣,嘉義縣六腳鄉崙子崙陽村33之50號,23.555619,120.305136
真武廟,玄天上帝,嘉義縣,嘉義縣竹崎鄉阿拔泉緞繻村九鄰二十二之一號,23.5240436,120.5997815
奮起湖保安宮,福德正神〈土地公〉,嘉義縣,嘉義縣竹崎鄉中和村八鄰奮起湖八十九之一號,23.5052388,120.695607
振興宮,關帝君,嘉義縣,嘉義縣竹崎鄉無底潭塘興村十三鄰,23.5041029,120.5873139
福安宮,三姓尊王,嘉義縣,嘉義縣水上鄉吳竹街水頭村14鄰38號,23.4300427,120.4048303
文應公,保生大帝,嘉義縣,嘉義縣水上鄉吳竹街水頭村13鄰18巷35號,23.4298807,120.4049389
開山宮,鄭成功,嘉義縣,嘉義縣鹿草鄉鹿草278號附1,23.4010271,120.2685799
碧山岩,觀音佛祖,嘉義縣,嘉義縣竹崎鄉菜堂紫雲村十六鄰九之五號,23.500706,120.541422
新發寺,觀音佛祖,嘉義縣,嘉義縣水上鄉南靖南和村8鄰11號,23.415999,120.384938
協天宮,關聖帝君,嘉義縣,嘉義縣水上鄉後寮南和村9鄰8號,23.412481,120.361236
慈善寺,大寮伯,嘉義縣,嘉義縣鹿草鄉鹿草段1192-0004號,23.4113896,120.3083201
萬善相公,萬善相公,嘉義縣,嘉義縣鹿草鄉鹿草小段鹿草段1007之000號,23.4113896,120.3083201
開台聖王府,鄭成功,嘉義縣,嘉義縣鹿草鄉竹子腳松竹村14鄰144號附1,23.3944078,120.2851521
壽德宮,公王,嘉義縣,嘉義縣竹崎鄉交力坪仁壽村三鄰,23.532117,120.643159
麻箕埔三山國王廟,三山國王,嘉義縣,嘉義縣竹崎鄉麻箕埔鹿滿村六二之一號,23.5022639,120.5346333
奉天岩,觀音佛祖,嘉義縣,嘉義縣竹崎鄉紅南坑緞繻村四鄰二十號,23.541949,120.604787
開天保安宮,開天聖帝,嘉義縣,嘉義縣中埔鄉公館和睦村14鄰22號,23.446252,120.458819
寂光寺,西方三聖,嘉義縣,嘉義縣中埔鄉中正路隆興村9鄰480號,23.4396881,120.5278244
普天宮,趙子龍,嘉義縣,嘉義縣布袋鎮海利街岑海里11鄰26號,23.3824481,120.1514077
玉王宮,玉王千歲,嘉義縣,嘉義縣六腳鄉更寮村7鄰更寮小段304之19及310之2號,23.482142,120.239069
拱隆宮,福德正神,嘉義縣,嘉義縣竹崎鄉中山路竹崎村三鄰五十三之一號,23.523317,120.5510386
開天宮,開天聖祖,嘉義縣,嘉義縣鹿草鄉三角村 11鄰109號,23.4026098,120.3388591
