year,season,year_season,city,total_population,total_population_increase,births,deaths,natural_increase_rate,immigrants,emigrants,social_increase_rate,total_increase_rate
104,3,1043,新竹縣,"540,605","1,432","1,368",822,1.01,"6,618","5,732",1.64,2.65
104,3,1043,苗栗縣,"564,549","-1,155","1,274","1,068",0.36,"4,358","5,719",-2.41,-2.05
104,3,1043,彰化縣,"1,288,295",-979,"3,194","2,419",0.6,"9,069","10,823",-1.36,-0.76
104,3,1043,南投縣,"510,094","-1,424",878,"1,190",-0.61,"3,961","5,073",-2.18,-2.79
104,3,1043,雲林縣,"700,437","-1,461","1,215","1,681",-0.66,"5,453","6,448",-1.42,-2.08
104,3,1043,嘉義縣,"520,670",-921,715,"1,319",-1.16,"4,305","4,622",-0.61,-1.77
104,3,1043,屏東縣,"842,425","-1,556","1,315","1,999",-0.81,"7,185","8,057",-1.03,-1.84
104,3,1043,台東縣,"222,910",-279,403,556,-0.69,"2,282","2,408",-0.57,-1.26
104,3,1043,花蓮縣,"332,026",-398,677,818,-0.42,"4,544","4,801",-0.77,-1.19
104,3,1043,澎湖縣,"102,204",451,215,239,-0.24,"1,853","1,378",4.67,4.43
104,3,1043,基隆市,"372,511",-276,619,654,-0.09,"4,916","5,157",-0.65,-0.74
104,3,1043,新竹市,"433,348",488,"1,176",623,1.28,"5,986","6,051",-0.15,1.13
104,3,1043,嘉義市,"270,473",-423,546,486,0.22,"3,094","3,577",-1.78,-1.56
104,3,1043,福建省,"144,450","2,123",359,193,1.16,"4,011","2,054",13.63,14.79
104,3,1043,金門縣,"131,905","2,074",330,182,1.13,"3,685","1,759",14.69,15.82
104,3,1043,連江縣,"12,545",49,29,11,1.44,326,295,2.48,3.92
104,2,1042,新北市,"3,966,052",403,"8,554","5,586",0.75,"44,992","47,557",-0.65,0.1
104,2,1042,台北市,"2,706,030",72,"6,812","4,201",0.96,"35,565","38,104",-0.94,0.02
104,2,1042,桃園市,"2,086,081","13,345","5,495","2,908",1.24,"32,458","21,700",5.17,6.41
104,2,1042,台中市,"2,731,500","6,003","6,053","3,907",0.79,"34,654","30,797",1.41,2.2
104,2,1042,台南市,"1,885,376",270,"3,659","3,393",0.14,"18,097","18,093",-,0.14
104,2,1042,高雄市,"2,778,835",-301,"5,195","5,038",0.06,"31,407","31,865",-0.16,-0.1
104,2,1042,台灣省,"7,165,361","-8,416","13,924","15,290",-0.19,"68,614","75,664",-0.98,-1.17
104,2,1042,宜蘭縣,"458,313",-57,781,902,-0.26,"5,525","5,461",0.14,-0.12
104,2,1042,新竹縣,"539,173","1,102","1,288",885,0.75,"6,623","5,924",1.3,2.05
104,2,1042,苗栗縣,"565,704",-881,"1,481","1,205",0.49,"4,271","5,428",-2.04,-1.55
104,2,1042,彰化縣,"1,289,274","-1,221","3,124","2,481",0.5,"8,808","10,672",-1.45,-0.95
104,2,1042,南投縣,"511,518","-1,574",803,"1,216",-0.81,"4,054","5,215",-2.27,-3.08
104,2,1042,雲林縣,"701,898","-1,509","1,113","1,672",-0.8,"5,773","6,723",-1.35,-2.15
104,2,1042,嘉義縣,"521,591","-1,571",663,"1,361",-1.34,"4,236","5,109",-1.67,-3.01
104,2,1042,屏東縣,"843,981","-1,798","1,223","2,017",-0.94,"7,263","8,267",-1.19,-2.13
104,2,1042,台東縣,"223,189",-642,333,639,-1.37,"2,247","2,583",-1.5,-2.87
104,2,1042,花蓮縣,"332,424",-413,603,788,-0.56,"4,528","4,756",-0.69,-1.25
104,2,1042,澎湖縣,"101,753",-103,200,235,-0.34,"1,240","1,308",-0.67,-1.01
104,2,1042,基隆市,"372,787",-182,571,748,-0.47,"4,999","5,004",-0.01,-0.48
104,2,1042,新竹市,"432,860",404,"1,193",623,1.32,"5,860","6,026",-0.38,0.94
104,2,1042,嘉義市,"270,896",29,548,518,0.11,"3,187","3,188",-,0.11
104,2,1042,福建省,"142,327",899,368,193,1.23,"2,844","2,120",5.09,6.32
104,2,1042,金門縣,"129,831",907,335,185,1.16,"2,600","1,843",5.84,7
104,2,1042,連江縣,"12,496",-8,33,8,2,244,277,-2.65,-0.65
104,1,1041,新北市,"3,965,649","-1,169","9,194","5,870",0.84,"39,467","43,960",-1.13,-0.29
104,1,1041,台北市,"2,705,958","3,643","7,310","4,477",1.05,"33,317","32,507",0.3,1.35
104,1,1041,桃園市,"2,072,736","14,408","4,900","3,023",0.91,"32,180","19,649",6.07,6.98
104,1,1041,台中市,"2,725,497","5,662","6,568","4,108",0.9,"32,803","29,601",1.18,2.08
104,1,1041,台南市,"1,885,106",822,"3,903","3,587",0.17,"18,582","18,076",0.27,0.44
104,1,1041,高雄市,"2,779,136",144,"5,452","5,226",0.08,"30,727","30,809",-0.03,0.05
104,1,1041,台灣省,"7,173,777","-9,175","14,788","16,016",-0.17,"63,819","71,766",-1.11,-1.28
104,1,1041,宜蘭縣,"458,370",-407,846,967,-0.26,"4,877","5,163",-0.62,-0.88
104,1,1041,新竹縣,"538,071",441,"1,391",961,0.8,"5,588","5,577",0.02,0.82
104,1,1041,苗栗縣,"566,585",-547,"1,588","1,301",0.51,"4,290","5,124",-1.47,-0.96
104,1,1041,彰化縣,"1,290,495",-979,"3,119","2,613",0.39,"9,341","10,826",-1.15,-0.76
104,1,1041,南投縣,"513,092","-1,223",868,"1,221",-0.69,"3,811","4,681",-1.69,-2.38
104,1,1041,雲林縣,"703,407","-1,949","1,276","1,789",-0.73,"5,264","6,700",-2.04,-2.77
