雲林縣警察局105年1至6月住宅竊盜地點一覽表,,,,,,
編號,日期時間,發生地點,lat,long,發生(現)管轄機關,發生場所
37,105/05/15 16:00,雲林縣古坑鄉朝陽村大埔路,23.6392605,120.59479620000002,OC12 雲林縣斗南分局古坑分駐所,A009 空屋
38,105/04/01 00:00,雲林縣西螺鎮詔安里埔心路,23.7988208,120.44451589999994,OE01 雲林縣西螺分局和心所,A009 空屋
39,105/04/03 07:20,雲林縣麥寮鄉橋頭村仁德路,23.7971944,120.27232950000007,OB06 雲林縣台西分局橋頭所,A001 普通住宅(一、二層樓)
40,105/05/04 16:12,雲林縣斗南鎮田頭里田福路,23.7012368,120.48921559999997,OC08 雲林縣斗南分局新光所,A009 空屋
41,105/04/12 14:02,雲林縣元長鄉潭西村,23.6424959,120.28732660000003,OF09 雲林縣虎尾分局元長分駐所,A001 普通住宅(一、二層樓)
42,105/04/26 15:13,雲林縣口湖鄉湖東村文明路,23.5886026,120.18656609999994,OA08 雲林縣北港分局口湖分駐所,A001 普通住宅(一、二層樓)
43,105/03/24 08:40,雲林縣斗六市中南路,23.7341896,120.55893470000001,OD03 雲林縣斗六分局長安所,A001 普通住宅(一、二層樓)
44,105/03/20 09:00,雲林縣斗六市大智街,23.7013194,120.53977829999997,OD10 雲林縣斗六分局公正所,A002 公寓(三至五層建築物)
45,105/04/26 14:07,雲林縣大埤鄉松竹村松西,23.6382735,120.45016529999998,OC11 雲林縣斗南分局大埤分駐所,A009 空屋
46,105/01/22 15:04,雲林縣大埤鄉豐田村大埤路,23.6629226,120.46393349999994,OC11 雲林縣斗南分局大埤分駐所,A009 空屋
47,105/04/22 07:59,雲林縣口湖鄉梧南村光明路,23.5461086,120.18816830000003,OA06 雲林縣北港分局宜梧所,A001 普通住宅(一、二層樓)
48,105/05/13 14:30,雲林縣虎尾鎮埒內,23.721184,120.44521699999996,OF02 雲林縣虎尾分局埒內所,A001 普通住宅(一、二層樓)
49,105/05/23 16:00,雲林縣台西鄉蚊港村蚊港,23.756811,120.22034400000007,OB08 雲林縣台西分局崙豐所,A001 普通住宅(一、二層樓)
50,105/06/03 03:00,雲林縣崙背鄉西榮村民族路,23.7695438,120.35115300000007,OE06 雲林縣西螺分局崙背分駐所,A006 農家住宅
51,105/06/13 11:06,雲林縣斗南鎮埤麻里新厝,23.6795658,120.44975069999998,OC02 雲林縣斗南分局新崙所,A001 普通住宅(一、二層樓)
52,105/06/15 08:30,雲林縣元長鄉卓運村庄內路,23.6424836,120.348028,OF06 雲林縣虎尾分局客厝所,A001 普通住宅(一、二層樓)
53,105/05/15 11:50,雲林縣斗六市檨林路,23.6954926,120.6195275,OD02 雲林縣斗六分局梅林所,A001 普通住宅(一、二層樓)
